,label,area,centroid-0,centroid-1,day,cebp_integrated,gr_integrated,vdr_integrated
11,12,49707,1727,338,-1.0,180650703,172809565,413380693
12,13,40754,1919,1962,-1.0,129451816,67136734,363324707
13,14,44383,1925,969,-1.0,124875590,70586446,379420699
0,1,27261,72,131,-1.0,111227917,95632713,276303861
1,2,50351,314,1728,-1.0,191763379,149740672,476201470
2,3,43045,387,823,-1.0,180094816,134089187,499740001
3,4,43916,566,1330,-1.0,187370432,178395530,447243593
4,5,29935,633,136,-1.0,101056529,57794810,336958418
5,6,42327,727,474,-1.0,178936517,122984670,477178439
6,7,31597,941,908,-1.0,141565971,70967684,358004286
7,8,38939,1011,125,-1.0,171421054,118297139,424170304
8,9,43838,1072,1647,-1.0,186198408,159974336,436542372
9,10,41104,1102,1285,-1.0,220063090,102865650,430709945
10,11,45705,1214,1926,-1.0,177209652,110341918,436641598
11,12,91355,1333,1058,-1.0,395847523,223598559,874618487
12,13,26872,1270,635,-1.0,114829911,59410350,315669997
13,14,38918,1437,1337,-1.0,213703491,96703851,408541228
14,15,40036,1495,1936,-1.0,168116372,140837520,385763579
15,16,34684,1619,1525,-1.0,148819768,126841113,351627382
16,17,33784,1957,1706,-1.0,139476326,109822021,304567396
0,1,47686,86,400,-1.0,250858592,148470204,448585079
1,2,37090,113,1045,-1.0,164055888,112714236,298110566
2,3,32763,236,72,-1.0,112471708,96476727,268437903
3,4,35139,333,1265,-1.0,161585602,81909278,287364604
4,5,73053,590,1410,-1.0,336754773,250423186,588680442
5,6,40771,757,241,-1.0,138807898,105643371,331988842
6,7,34310,798,848,-1.0,129365766,86609730,290768056
7,8,36285,890,1355,-1.0,167321198,101973971,305461871
8,9,25860,1022,1968,-1.0,131043526,58939616,217268627
9,10,53949,1067,810,-1.0,184970231,121930834,476877427
10,11,44233,1070,1534,-1.0,174512543,111757988,337995537
11,12,37373,1285,1933,-1.0,174492295,105412826,296398678
12,13,35244,1306,188,-1.0,157133418,107437259,299645170
13,14,30329,1380,756,-1.0,147357436,132716415,287516545
14,15,49197,1474,1689,-1.0,180451403,140227431,377717961
15,16,38640,1518,930,-1.0,162571565,91128867,333280283
16,17,37522,1698,1284,-1.0,159947442,116293869,341743852
17,18,41317,1703,1586,-1.0,130285239,93648289,309757561
18,19,35822,1756,538,-1.0,167352202,113943392,313714939
0,1,31660,89,410,-1.0,134283524,46757863,150705315
1,2,65071,439,1372,-1.0,372580964,385545319,372509293
2,3,42170,545,533,-1.0,258133242,193958232,242626338
3,4,56985,682,975,-1.0,352778413,210130868,325751413
4,5,40037,770,406,-1.0,211666710,173067284,207496885
5,6,38143,898,1871,-1.0,168718746,188965137,196631323
6,7,58899,931,1116,-1.0,299168377,254876563,326969530
7,8,61453,1153,1820,-1.0,279574511,168428974,281047364
8,9,41097,1142,1275,-1.0,212465118,231324260,229317182
9,10,47296,1481,503,-1.0,289088164,244095400,284783720
10,11,25829,1633,1365,-1.0,111687588,43911989,137759056
11,12,42171,1657,697,-1.0,243607358,169378492,236365697
0,1,41265,536,952,-1.0,311581364,154697802,253627836
1,2,38539,601,1983,-1.0,161494607,178704090,184870653
2,3,43240,632,743,-1.0,288178300,185096023,253443555
3,4,45835,638,1734,-1.0,215611631,117469823,218788188
4,5,36708,737,1344,-1.0,173679162,140132350,201826336
5,6,54861,895,126,-1.0,257880298,299793816,272872779
6,7,62025,938,460,-1.0,294579691,257225363,316308978
7,8,37437,1129,1659,-1.0,183675951,252765693,220997226
8,9,45606,1190,1066,-1.0,231758380,177955245,259018089
