,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
13,18,19,30975,38775,1511,73,31167,0.7231089272689549,198.5915277603042,0.7988394584139265,119,73,241.3869253838988,166.73416010850858,687.0437226013956,0.9938396380787372,3641.727984143245,1737.5175091931117,0.1736640998655805,0.0037792643398505453,0.00027971290030935706,1.7860025273042504e-05,8.57939481777192e-10,6.346458227697303e-07,-9.25993625321996e-10,1.0
14,20,21,54513,70560,1559,517,56479,0.8286234041426537,263.4541844460777,0.7725765306122448,90,175,355.29863678479967,198.89846621443684,1025.021428024809,0.9651906018166044,7889.820081321057,2472.537491403467,0.1900896588469636,0.009875584643249205,0.00026571573811749044,1.3540874892007635e-05,-6.778620537130207e-10,-1.2638794573367682e-06,-4.4745916110253064e-10,1.0
15,21,22,62894,82460,1753,1755,63371,0.6923183397169677,282.9825576366383,0.7627213194276012,157,130,333.3139409811891,240.5167430559663,962.5899705197332,0.9924728976976852,6943.6364532757225,3615.518980640608,0.16788812023271427,0.002800134301608067,1.7957390998540833e-06,4.361585542635019e-08,4.7765753144548735e-15,9.216255818198774e-10,-1.1233029439999595e-14,1.0
16,22,23,32155,41580,1712,706,32419,0.5466793009538358,202.3388681419345,0.7733285233285233,112,94,221.27082102380757,185.27936726924838,679.1686142824235,0.9918566272864678,3060.048514784367,2145.527745980813,0.16189010296268636,0.0008088912130161424,1.67170543616656e-05,1.2082979853596895e-07,1.26992477302118e-13,2.131854530453576e-09,-1.1560015263728615e-13,1.0
17,23,24,34745,46830,1787,1196,34985,0.6484668939597232,210.3299978172948,0.7419389280375828,104,112,241.1549763864169,183.57750322074864,709.938166904124,0.9931399171073316,3634.7326647458317,2106.2937305477485,0.16523316722675435,0.0019351362658633039,7.224199197429143e-06,1.156977768307827e-07,1.3774019767549564e-14,2.5882470753464183e-10,-1.0487417776237432e-13,1.0
18,25,26,31990,41070,1954,1430,32240,0.6534276731839096,201.81906014070591,0.7789140491843195,95,111,232.17360785556667,175.75285647102902,678.683332908185,0.9922456575682382,3369.0365115419045,1930.566659857884,0.16566436922162514,0.0020219622733032576,2.191057649163055e-05,5.780564010114819e-07,1.7745912347485876e-12,2.2096443686848416e-08,-1.0406772060719455e-12,1.0
0,0,1,22383,27716,73,157,22572,0.2153573702329528,168.8162336086407,0.80758406696493,73,83,172.3674385097633,168.32288924089113,572.3746750430837,0.9916267942583732,1856.9083661510651,1770.7871901500812,0.16207369683693634,1.4804144439173212e-05,0.00022322487301804423,5.580539799054756e-07,2.0748007808146056e-12,2.1372105625834392e-09,5.872801372576067e-12,0.0
1,4,5,40307,53463,278,1754,40611,0.6570952702212925,226.54020907918357,0.7539232740399903,107,124,261.1639821228692,196.86737863940556,768.5655839020934,0.9925143434044964,4262.914097392148,2422.2977982719417,0.16585734228953009,0.002085285753982575,6.612023070727336e-06,9.36084150431e-08,9.516364675139956e-15,8.633084868912073e-10,7.302692109642899e-14,0.0
2,7,8,118454,194038,693,1785,129918,0.6983764032555667,388.35591540757935,0.6104680526494809,227,200,476.8439704200223,341.29185689830484,1529.53318805774,0.9117597253652304,14211.260757870694,7280.008224068311,0.1814313487255728,0.003423922950405119,0.0006100353516127379,1.9435741669274562e-05,-2.048123022924737e-09,-1.0805794775613457e-06,-5.328770240922988e-10,0.0
3,11,12,9271,12675,733,26,9345,0.9281610983916008,108.64715283540428,0.731439842209073,100,26,184.77611290430897,68.76973118289033,454.8711037056154,0.9920813269127876,2133.8882437516213,295.5797454354374,0.26205026309859325,0.03931729469179582,0.002308893262216412,0.00021135486744560536,-9.609447340542293e-08,-3.259616962245252e-05,-1.1209395751916652e-07,0.0
