,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
0,0,1,685,1092,4,61,722,0.9856406903615882,29.53250900522315,0.6272893772893773,4,42,75.60340217870083,12.766106159657431,168.9411254969543,0.9487534626038782,357.24215131214913,10.185841654977716,0.5363912306089441,0.25669579002153425,0.007421236277336388,0.000984228495092878,-5.689750591204954e-07,-0.0002507073876544743,2.5984380377186907e-06,0.0
1,2,3,33934,51906,72,1935,37654,0.7946080008820346,207.86079647457092,0.6537587176819636,72,137,280.7034454968994,170.42146888626502,863.0609665440988,0.9012057151962608,4924.651519614423,1815.2173160845127,0.1986169869658436,0.008396390564235889,0.0008237109163030385,1.8414103743391533e-05,6.329750850245369e-10,-1.4058842791805813e-06,2.1777193585960163e-09,0.0
2,3,4,1,1,5,668,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,6,72792,107328,242,220,77260,0.6810958117860539,304.43661563675613,0.6782200357781754,149,165,360.7690401272749,264.15303534335425,1125.827560572969,0.9421692984726896,8134.643769647205,4361.051630069211,0.17166303164793406,0.002687463738839311,0.00021372203021748017,5.491139066350527e-06,1.4526857283084004e-10,2.300062348880757e-07,1.1951343446931983e-10,0.0
4,9,10,55476,82044,596,1059,60430,0.6591092015278894,265.7710235968697,0.6761737604212373,158,119,318.7876590534993,239.7433811019157,1069.1940469205897,0.9180208505709084,6351.598222800631,3592.305548886149,0.1792469495220777,0.002473917750906555,0.001068350823830366,2.819598930187991e-05,3.653830369998668e-09,2.402361195522077e-07,3.255440122006988e-09,0.0
5,14,15,39682,55470,1083,1729,41751,0.6567680232968331,224.77698194917716,0.7153776816297097,106,124,259.85442883430505,195.9543215373916,862.9919907732865,0.9504443007353116,4220.270261550184,2399.881008073716,0.1668300808836223,0.0021044636104019373,4.8883640109309206e-05,1.3380989669269223e-06,1.0775337954461779e-11,5.783434177098716e-08,1.0056498557876401e-12,0.0
6,15,16,1230,1638,1098,143,1256,0.4717559214414541,39.57378728431549,0.7509157509157509,18,20,42.20256156408453,37.21123009086046,130.46803743153546,0.9792993630573248,111.31601266064658,86.54222780468494,0.16086035810189553,0.00040567150247172696,2.2127956048555064e-05,1.2452697373057915e-07,2.05972338905388e-13,2.2935542134771643e-09,-1.747193759944249e-14,0.0
7,20,21,1,1,1353,2009,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22,23,1,1,1476,1110,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24,25,29949,42897,1723,1554,34553,0.6593143891223515,195.2748092439816,0.6981607105391986,86,109,229.4206600854231,172.493907441092,928.16966030295,0.8667554192110669,3289.614954626952,1859.6342565185007,0.17193392804919871,0.0022797944870529482,7.220033400857227e-05,7.53782305701772e-06,1.3828310280732022e-10,6.286548326752406e-08,1.0862990422168279e-10,0.0
10,25,26,32647,46367,1876,1083,34718,0.5208961589146666,203.88097365121848,0.7040998986348049,91,115,221.74037707469117,189.28203200787,802.5655839020935,0.9403479463102712,3073.049676576639,2239.2304775642683,0.16271878439491858,0.0006523147862614778,5.7745069804638195e-05,3.41769618686512e-07,2.1087045090003034e-14,-4.6291253921611335e-09,-1.5181537125220498e-12,0.0
11,26,27,36785,51504,1929,632,39494,0.6791398986429045,216.41653507318463,0.7142163715439578,113,112,254.36273394399257,186.70449889814117,842.9503602129437,0.9314073023750444,4043.7750262163977,2178.6606193003754,0.16915687496307658,0.002570806757380031,8.302523113591867e-06,4.0159722184715134e-09,-4.519069903122369e-16,1.4111340215685991e-12,5.7752252621737035e-16,0.0
12,27,28,1,1,1822,1509,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,64565,85475,107,1790,67012,0.5861429566243228,286.7171275069311,0.7553670663936823,107,161,326.1244159741215,264.22849632808504,1108.636651713959,0.9634841520921626,6647.320918403865,4363.543641987554,0.17053921722901597,0.001251160958472126,0.0007241683870700785,1.2347004009846209e-05,-7.448386840375403e-10,-3.524146142109365e-07,8.990576737841703e-10,1.0
1,3,4,41945,58539,330,1725,44159,0.4969301757818673,231.0974528287069,0.7165308597687012,125,117,250.4430379859364,217.33209615488042,863.8853890554881,0.9498629950859394,3920.107204726573,2952.077501192135,0.16383799513455022,0.0005326193862334051,0.00014180331545339355,3.390678202577645e-06,-6.676617363972331e-11,-6.895915240335823e-08,-3.27108387599918e-11,1.0
2,5,6,40845,55020,527,257,42307,0.5791390227954578,228.04707672914319,0.7423664122137404,105,135,252.9379678425001,206.20231536668038,854.2935059634513,0.9654430708866144,3998.6009735183497,2657.462178911244,0.16295906848891156,0.0010781263236099704,2.640822714347798e-07,4.711117067496712e-08,-2.1323510578974284e-16,7.781363407073935e-10,5.250463011177489e-15,1.0
