,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
7,8,52595,1578,871,0.0,146830566,119576448,115384694
8,9,35302,1849,690,0.0,123565859,97590395,71326423
9,10,55741,1937,116,0.0,192753123,156576285,129100615
10,11,54541,1931,1193,0.0,157204689,154181139,166151271
0,1,42832,136,1914,0.0,134294499,101928356,89137857
1,2,46944,479,1240,0.0,142759785,102260313,104169764
2,3,45787,510,1611,0.0,170099131,138890611,106833190
3,4,36780,589,829,0.0,107765332,142824888,88889417
4,5,45923,718,1268,0.0,164305236,160253725,107446964
5,6,26213,733,430,0.0,65512241,75890961,65098728
6,7,53281,1142,1806,0.0,175386603,155925964,111174015
7,8,41059,1466,842,0.0,112301690,166233278,103643090
0,1,42332,98,974,0.0,140155927,112078882,69043913
1,2,40741,272,1872,0.0,186945393,110412184,57370239
2,3,59572,321,336,0.0,234510540,210747609,108385313
3,4,64822,436,1112,0.0,367452738,348108430,109668287
4,5,34547,439,827,0.0,151394493,104741954,67569802
5,6,51243,581,1890,0.0,210801805,188491155,87310900
6,7,44604,708,1708,0.0,203706998,161657123,82319099
7,8,33794,725,519,0.0,139063073,132937405,68606342
8,9,47293,1081,1265,0.0,183189401,149852478,82945035
9,10,43208,1107,892,0.0,177297456,154316523,102314263
10,11,82674,1318,1879,0.0,372096241,265595679,180876783
11,12,40587,1482,885,0.0,168374150,124439875,72230368
12,13,43414,1652,1127,0.0,168543141,150789228,86313070
0,1,40958,343,1197,0.0,157226036,91631602,68650457
1,2,52639,437,840,0.0,184787023,124419154,106490091
2,3,52481,573,239,0.0,160347813,115806563,92930335
3,4,53156,647,642,0.0,180439312,118385093,74897988
4,5,44630,681,1678,0.0,156613646,102447476,82501751
5,6,56088,731,910,0.0,185871097,136032585,95077183
6,7,43019,987,1947,0.0,154240800,129080632,69924466
7,8,46551,1103,618,0.0,164265950,113161986,74284366
8,9,44002,1143,1300,0.0,183227407,168035550,75140242
9,10,50650,1501,1855,0.0,171878684,138553423,79710192
10,11,49483,1552,1135,0.0,179693026,126545998,72899434
0,1,64565,107,1790,0.0,259444143,232334694,109615564
1,2,41945,330,1725,0.0,169273904,101610873,74580397
2,3,40845,527,257,0.0,138081590,103749277,70967643
3,4,44358,553,1405,0.0,172897687,119255839,77597527
4,5,45594,747,1650,0.0,178224845,157966636,116587292
5,6,72751,1147,1496,0.0,380875089,256291524,132605974
6,7,40058,1264,1838,0.0,180625524,126126067,75512871
7,8,48182,1426,1370,0.0,196095085,150727727,79993705
8,9,44938,1551,1826,0.0,183298991,110316668,123563004
9,10,46053,1719,699,0.0,177279993,145332616,89697471
