,segm_cebp_imagename,day,area_nucleus,xcoord_nucleus,ycoord_nucleus,dapi_nucleus,cebp_nucleus,ppar_nucleus,count_heteroc,area_heteroc,dapi_heteroc,cebp_heteroc,ppar_heteroc,area_n_heteroc,dapi_n_heteroc,cebp_n_heteroc,ppar_n_heteroc,area_p3_heteroc,dapi_p3_heteroc,cebp_p3_heteroc,ppar_p3_heteroc,area_n_p3_heteroc,dapi_n_p3_heteroc,cebp_n_p3_heteroc,ppar_n_p3_heteroc,area_blob,count_blob,dapi_blob,cebp_blob,ppar_blob,area_n_blob,dapi_n_blob,cebp_n_blob,ppar_n_blob,area_p1_blob,dapi_p1_blob,cebp_p1_blob,ppar_p1_blob,area_n_p1_blob,dapi_n_p1_blob,cebp_n_p1_blob,ppar_n_p1_blob,area_p2_blob,dapi_p2_blob,cebp_p2_blob,ppar_p2_blob,area_n_p2_blob,dapi_n_p2_blob,cebp_n_p2_blob,ppar_n_p2_blob,area_p3_blob,dapi_p3_blob,cebp_p3_blob,ppar_p3_blob,area_n_p3_blob,dapi_n_p3_blob,cebp_n_p3_blob,ppar_n_p3_blob,area_p5_blob,dapi_p5_blob,cebp_p5_blob,ppar_p5_blob,area_n_p5_blob,dapi_n_p5_blob,cebp_n_p5_blob,ppar_n_p5_blob,area_p7_blob,dapi_p7_blob,cebp_p7_blob,ppar_p7_blob,area_n_p7_blob,dapi_n_p7_blob,cebp_n_p7_blob,ppar_n_p7_blob
20,stad3-26-xy9_cebp_segm_cell6.tif,-3.0,87418,1235.974307350889,1908.965922350088,132915754,422216135,122408532,22,2526,5074905,11494000,3535644,84892.0,127840849.0,410722135.0,118872888.0,3062,5604448,14464850,4361180,81830.0,122236401.0,396257285.0,114511708.0,7438,30,11089176,77421668,10925354,79980.0,121826578.0,344794467.0,111483178.0,1779,2688349,15239014,2598476,78201.0,119138229.0,329555453.0,108884702.0,1886,2857355,15238088,2744197,76315.0,116280874.0,314317365.0,106140505.0,2439,3712057,18504479,3543932,73876.0,112568817.0,295812886.0,102596573.0,5056,7742540,34387783,7280056,68820.0,104826277.0,261425103.0,95316517.0,4652,7156626,28131060,6610700,64168.0,97669651.0,233294043.0,88705817.0
21,stad3-27-xy1_cebp_segm_cell1.tif,-1.0,44271,581.2236452756883,396.71493754376456,175473563,135709326,83666660,2,134,782548,603067,277036,44137.0,174691015.0,135106259.0,83389624.0,146,792233,653283,304881,43991.0,173898782.0,134452976.0,83084743.0,2284,16,9696409,10861746,4360546,41987.0,165777154.0,124847580.0,79306114.0,652,2751969,2830395,1243303,41345.0,163051735.0,122042744.0,78080191.0,712,3009713,2999272,1353516,40645.0,160073750.0,119072989.0,76747070.0,967,4083552,3943575,1839865,39695.0,156034555.0,115169539.0,74936984.0,2169,9162484,8462455,4117945,37573.0,146994513.0,106808593.0,70900189.0,2201,9280320,8229619,4185877,35439.0,137886271.0,98707084.0,66832686.0
22,stad3-27-xy1_cebp_segm_cell10.tif,-1.0,36230,1033.559701904499,1863.0248964946177,139856223,110155285,75868619,11,1933,11413061,5212921,4125841,34297.0,128443162.0,104942364.0,71742778.0,1768,8933248,5003137,3775080,32529.0,119509914.0,99939227.0,67967698.0,1254,9,4759792,10213840,3255058,34976.0,135096431.0,99941445.0,72613561.0,380,1462279,2415642,987514,34605.0,133658258.0,97572025.0,71645371.0,411,1600108,2396561,1052208,34205.0,132087161.0,95229794.0,70616117.0,553,2169095,2946628,1408552,33668.0,129960028.0,92359544.0,69240774.0,1225,4895697,5699921,2928099,32477.0,125154079.0,86805404.0,66383300.0,1199,4852496,4949564,2749740,31315.0,120398420.0,81989862.0,63708972.0
23,stad3-27-xy1_cebp_segm_cell2.tif,-1.0,44216,1286.7752171159761,534.6734666184186,321681561,178630926,114548485,11,1159,13782815,5382126,2917138,43057.0,307898746.0,173248800.0,111631347.0,1532,17162016,7191301,3922902,41525.0,290736730.0,166057499.0,107708445.0,2268,20,22731834,14191528,5726425,41948.0,298949727.0,164439398.0,108822060.0,1018,10136993,5794632,2551076,40943.0,288847741.0,158690536.0,106304914.0,1060,10539736,5746650,2641239,39901.0,278355675.0,153002675.0,103710531.0,1330,13153588,6935366,3303804,38597.0,265270961.0,146149600.0,100475895.0,2643,25586275,13102968,6572549,36037.0,239902434.0,133289773.0,94125296.0,2168,19871579,10202260,5427511,33978.0,220315372.0,123391071.0,88988048.0
24,stad3-27-xy1_cebp_segm_cell4.tif,-1.0,39480,361.53214285714284,954.088475177305,162544103,112035417,72257414,8,1252,8038405,3903938,2381079,38228.0,154505698.0,108131479.0,69876335.0,1197,6751140,3860351,2282788,37031.0,147754558.0,104271128.0,67593547.0,1134,10,4676491,6957974,2141912,38346.0,157867612.0,105077443.0,70115502.0,352,1468987,1800978,662929,37994.0,156398625.0,103276465.0,69452573.0,388,1627204,1857700,729024,37606.0,154771421.0,101418765.0,68723549.0,527,2217163,2366756,990287,37079.0,152554258.0,99052009.0,67733262.0,1209,5129836,4990240,2255825,35870.0,147424422.0,94061769.0,65477437.0,1244,5342651,4768137,2310912,34626.0,142081771.0,89293632.0,63166525.0
25,stad3-27-xy1_cebp_segm_cell5.tif,-1.0,53902,1599.0649512077473,971.036510704612,277500034,220680270,116614548,7,825,7468237,3777488,1768470,53077.0,270031797.0,216902782.0,114846078.0,904,7316413,4263454,1960581,52173.0,262715384.0,212639328.0,112885497.0,1197,12,6242701,13399102,2714737,52705.0,271257333.0,207281168.0,113899811.0,449,2350449,3841526,991790,52256.0,268906884.0,203439642.0,112908021.0,493,2602858,3721531,1083713,51763.0,266304026.0,199718111.0,111824308.0,667,3564361,4442025,1452295,51096.0,262739665.0,195276086.0,110372013.0,1505,8119496,8622653,3257232,49591.0,254620169.0,186653433.0,107114781.0,1502,8172120,7674125,3233746,48089.0,246448049.0,178979308.0,103881035.0
26,stad3-27-xy1_cebp_segm_cell6.tif,-1.0,36858,1741.7648271745618,1137.2671875847848,152766436,100350254,75208597,5,412,2620256,1248202,826331,36446.0,150146180.0,99102052.0,74382266.0,508,2981133,1581967,1028280,35938.0,147165047.0,97520085.0,73353986.0,457,6,2106144,2818536,963674,36401.0,150660292.0,97531718.0,74244923.0,182,841063,992710,383035,36219.0,149819229.0,96539008.0,73861888.0,202,939034,1038757,423931,36017.0,148880195.0,95500251.0,73437957.0,279,1299742,1350264,583561,35738.0,147580453.0,94149987.0,72854396.0,640,3014224,2876078,1339003,35098.0,144566229.0,91273909.0,71515393.0,663,3165162,2788486,1381313,34435.0,141401067.0,88485423.0,70134080.0
27,stad3-27-xy1_cebp_segm_cell7.tif,-1.0,36431,402.6436551288738,1395.1991984848069,151053631,118690737,73237326,7,896,6523148,2569282,1733953,35535.0,144530483.0,116121455.0,71503373.0,910,5547274,2611066,1783766,34625.0,138983209.0,113510389.0,69719607.0,1708,16,6748844,14661546,3565832,34723.0,144304787.0,104029191.0,69671494.0,629,2533319,4119685,1328268,34094.0,141771468.0,99909506.0,68343226.0,687,2801504,3951200,1455135,33407.0,138969964.0,95958306.0,66888091.0,917,3774631,4623469,1967291,32490.0,135195333.0,91334837.0,64920800.0,2048,8585738,8706684,4201495,30442.0,126609595.0,82628153.0,60719305.0,1965,8375946,7204350,3994020,28477.0,118233649.0,75423803.0,56725285.0
28,stad3-27-xy1_cebp_segm_cell8.tif,-1.0,38280,1486.6488766980146,1488.5368077324974,158039703,171423671,153458596,5,827,6560291,4775753,3828915,37453.0,151479412.0,166647918.0,149629681.0,679,4268845,3796504,3731122,36774.0,147210567.0,162851414.0,145898559.0,1539,15,6504698,14858403,7348616,36741.0,151535005.0,156565268.0,146109980.0,624,2660102,4895093,3105638,36117.0,148874903.0,151670175.0,143004342.0,675,2876835,4787450,3442838,35442.0,145998068.0,146882725.0,139561504.0,913,3897656,5880472,4777864,34529.0,142100412.0,141002253.0,134783640.0,1943,8264361,11015044,9248281,32586.0,133836051.0,129987209.0,125535359.0,1823,7698050,9347910,8080332,30763.0,126138001.0,120639299.0,117455027.0
29,stad3-27-xy1_cebp_segm_cell9.tif,-1.0,36889,383.09197863861857,1648.5004201794573,145594657,128352260,83087895,8,1203,8316846,3968179,2585247,35686.0,137277811.0,124384081.0,80502648.0,1083,6237544,3590110,2331912,34603.0,131040267.0,120793971.0,78170736.0,2862,18,10666265,26067960,6673272,34027.0,134928392.0,102284300.0,76414623.0,852,3195096,5596549,1985396,33187.0,131765289.0,96747456.0,74451114.0,911,3442656,5260309,2104252,32291.0,128362534.0,91554934.0,72373346.0,1214,4631740,6187878,2776911,31098.0,123786426.0,85455793.0,69633612.0,2689,10424852,11435839,6008525,28460.0,113496537.0,74202954.0,63718242.0,2613,10281436,9294629,5712768,25915.0,103394189.0,65099401.0,58131270.0
